goos: linux
goarch: amd64
pkg: github.com/mtgo-labs/mtgo/internal/crypto
cpu: AMD Ryzen 5 7600X 6-Core Processor             
BenchmarkMsgIDValidatorCheck-12               	865608751	         1.374 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgIDValidatorCheck-12               	871309192	         1.368 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgIDValidatorCheck-12               	877670452	         1.372 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgIDValidatorCheck-12               	858760159	         1.369 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgIDValidatorCheck-12               	845987728	         1.392 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgIDValidatorCheck-12               	856972356	         1.381 ns/op	       0 B/op	       0 allocs/op
BenchmarkDCOptionPoolFindBest-12              	 4330290	       270.9 ns/op	     848 B/op	       6 allocs/op
BenchmarkDCOptionPoolFindBest-12              	 4422038	       271.2 ns/op	     848 B/op	       6 allocs/op
BenchmarkDCOptionPoolFindBest-12              	 4298497	       274.9 ns/op	     848 B/op	       6 allocs/op
BenchmarkDCOptionPoolFindBest-12              	 4349413	       272.5 ns/op	     848 B/op	       6 allocs/op
BenchmarkDCOptionPoolFindBest-12              	 4398711	       272.8 ns/op	     848 B/op	       6 allocs/op
BenchmarkDCOptionPoolFindBest-12              	 4327542	       273.1 ns/op	     848 B/op	       6 allocs/op
BenchmarkDCOptionPoolFindBest-12              	 4472340	       273.6 ns/op	     848 B/op	       6 allocs/op
BenchmarkDCOptionPoolFindBest-12              	 4333414	       272.3 ns/op	     848 B/op	       6 allocs/op
BenchmarkDCOptionPoolFindBest-12              	 4443492	       271.6 ns/op	     848 B/op	       6 allocs/op
BenchmarkDCOptionPoolFindBest-12              	 4374453	       273.3 ns/op	     848 B/op	       6 allocs/op
BenchmarkConnectionPoolMiss-12                	33301060	        35.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkConnectionPoolMiss-12                	34399663	        34.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkConnectionPoolMiss-12                	34585944	        34.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkConnectionPoolMiss-12                	34716097	        35.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkConnectionPoolMiss-12                	33940945	        35.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkConnectionPoolMiss-12                	34384689	        35.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkConnectionPoolMiss-12                	34601740	        34.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkConnectionPoolMiss-12                	34405234	        34.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkConnectionPoolMiss-12                	32237498	        35.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkConnectionPoolMiss-12                	32990584	        34.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkConnectionPoolPutGet-12              	 5624007	       211.0 ns/op	     136 B/op	       2 allocs/op
BenchmarkConnectionPoolPutGet-12              	 5510221	       212.4 ns/op	     136 B/op	       2 allocs/op
BenchmarkConnectionPoolPutGet-12              	 5732254	       210.0 ns/op	     136 B/op	       2 allocs/op
BenchmarkConnectionPoolPutGet-12              	 5735419	       210.4 ns/op	     136 B/op	       2 allocs/op
BenchmarkConnectionPoolPutGet-12              	 5710819	       211.7 ns/op	     136 B/op	       2 allocs/op
BenchmarkConnectionPoolPutGet-12              	 5563015	       210.4 ns/op	     136 B/op	       2 allocs/op
BenchmarkConnectionPoolPutGet-12              	 5739030	       209.7 ns/op	     136 B/op	       2 allocs/op
BenchmarkConnectionPoolPutGet-12              	 5812917	       208.5 ns/op	     136 B/op	       2 allocs/op
BenchmarkConnectionPoolPutGet-12              	 5661460	       210.5 ns/op	     136 B/op	       2 allocs/op
BenchmarkConnectionPoolPutGet-12              	 5701040	       209.7 ns/op	     136 B/op	       2 allocs/op
